Denominazione in italiano,Codice Comune formato alfanumerico
Ala,22001
Albiano,22002
Aldeno,22003
Andalo,22005
Arco,22006
Avio,22007
Baselga di Pinè,22009
Bedollo,22011
Besenello,22013
Bieno,22015
Bleggio Superiore,22017
Bocenago,22018
Bondone,22021
Borgo Valsugana,22022
Brentonico,22025
Bresimo,22026
Caderzone Terme,22029
Calceranica al Lago,22032
Caldes,22033
Caldonazzo,22034
Calliano,22035
Campitello di Fassa,22036
Campodenno,22037
Canal San Bovo,22038
Canazei,22039
Capriana,22040
Carisolo,22042
Carzano,22043
Castel Condino,22045
Castello-Molina di Fiemme,22047
Castello Tesino,22048
Castelnuovo,22049
Cavalese,22050
Cavareno,22051
Cavedago,22052
Cavedine,22053
Cavizzana,22054
Cimone,22058
Cinte Tesino,22059
Cis,22060
Civezzano,22061
Cles,22062
Commezzadura,22064
Croviana,22068
Dambel,22071
Denno,22074
Drena,22078
Dro,22079
Fai della Paganella,22081
Fiavè,22083
Fierozzo,22085
Folgaria,22087
Fornace,22089
Frassilongo,22090
Garniga Terme,22091
Giovo,22092
Giustino,22093
Grigno,22095
Imer,22097
Isera,22098
Lavarone,22102
Lavis,22103
Levico Terme,22104
Livo,22106
Lona-Lases,22108
Luserna,22109
Malé,22110
Massimeno,22112
Mazzin,22113
Mezzana,22114
Mezzano,22115
Mezzocorona,22116
Mezzolombardo,22117
Moena,22118
Molveno,22120
Mori,22123
Nago-Torbole,22124
Nogaredo,22127
Nomi,22128
Novaledo,22129
Ospedaletto,22130
Ossana,22131
Palù del Fersina,22133
Panchià,22134
Ronzo-Chienis,22135
Peio,22136
Pellizzano,22137
Pelugo,22138
Pergine Valsugana,22139
Pieve Tesino,22142
Pinzolo,22143
Pomarolo,22144
Predazzo,22147
Rabbi,22150
Riva del Garda,22153
Romeno,22155
Roncegno Terme,22156
Ronchi Valsugana,22157
Ronzone,22159
Roverè della Luna,22160
Rovereto,22161
Ruffrè-Mendola,22162
Rumo,22163
Sagron Mis,22164
Samone,22165
San Michele all'Adige,22167
Sant'Orsola Terme,22168
Sanzeno,22169
Sarnonico,22170
Scurelle,22171
Segonzano,22172
Sfruz,22173
Soraga di Fassa,22176
Sover,22177
Spiazzo,22179
Spormaggiore,22180
Sporminore,22181
Stenico,22182
Storo,22183
Strembo,22184
Telve,22188
Telve di Sopra,22189
Tenna,22190
Tenno,22191
Terragnolo,22193
Terzolas,22195
Tesero,22196
Tione di Trento,22199
Ton,22200
Torcegno,22202
Trambileno,22203
Trento,22205
Valfloriana,22209
Vallarsa,22210
Vermiglio,22213
Vignola-Falesina,22216
Villa Lagarina,22222
Volano,22224
Ziano di Fiemme,22226
Comano Terme,22228
Ledro,22229
Predaia,22230
San Lorenzo Dorsino,22231
Valdaone,22232
Dimaro Folgarida,22233
Pieve di Bono-Prezzo,22234
Altavalle,22235
Altopiano della Vigolana,22236
Amblar-Don,22237
Borgo Chiese,22238
Borgo Lares,22239
Castel Ivano,22240
Cembra Lisignago,22241
Contà,22242
Madruzzo,22243
Porte di Rendena,22244
Primiero San Martino di Castrozza,22245
Sella Giudicarie,22246
Tre Ville,22247
Vallelaghi,22248
Ville d'Anaunia,22249
San Giovanni di Fassa,22250
Terre d'Adige,22251
Borgo d'Anaunia,22252
Novella,22253
Ville di Fiemme,22254
